id,microbe_level,diet_type,tissue,nat_lab,sample_wt_g,conc_sample_ngperg,num_larvae,avg_ba_conc,high_ba_conc,low_ba_conc,avg_sa_conc,high_sa_conc,low_sa_conc,avg_iaa_conc,high_iaa_conc,low_iaa_conc
B2H,blank,blank,blank,nat,0,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
B2H,blank,blank,blank,lab,0,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
B5,blank,blank,blank,nat,0,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
B5,blank,blank,blank,lab,0,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
B5F,blank,blank,blank,nat,0,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
B5F,blank,blank,blank,lab,0,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
B5H,blank,blank,blank,nat,0,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
B5H,blank,blank,blank,lab,0,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
NB2,nonaxenic,benzoic,sal,nat,0.064,5982.539456,20,5339.510749,5432.546252,5246.475246,67.38023347,94.20022274,40.5602442,-54.60132257,48.50831158,-157.7109567
NB2,nonaxenic,benzoic,sal,lab,0.064,2453.759858,20,1810.731151,1903.766655,1717.695648,66996.15371,67022.9737,66969.33372,80435.49722,80538.60685,80332.38758
NB2F,nonaxenic,benzoic,fat,nat,0.0466,5916.053408,20,5032.923853,5160.697935,4905.149771,99.9536108,136.7879308,63.11929077,80.80111039,222.4109084,-60.80868759
NB2F,nonaxenic,benzoic,fat,lab,0.0466,12976.26071,20,12093.13116,12220.90524,11965.35707,180493.7405,180530.5748,180456.9062,383952.571,384094.1808,383810.9612
